x_sample [mm],y_sample [mm],theta1 [rad],theta2 [rad],Fx [N],Fy [N]
-370.0,-120.0,0.9868396270390045,-0.7632840287852446,-0.11334014465213017,0.5120586017344443
-370.0,-110.0,0.9922566887554187,-0.7068837293467927,-0.09457676961946195,0.5113758252482682
-370.0,-100.0,1.0010922684932257,-0.6591036151201526,-0.07660166616775017,0.5102765767114189
-370.0,-90.0,1.0127199755501528,-0.6182913667844819,-0.059281104500349076,0.5088572989053205
-370.0,-80.0,1.0267233729819005,-0.5833889993086131,-0.04252961782294073,0.5071895420923371
-370.0,-70.0,1.0428061637986854,-0.5536796534085131,-0.026288890199195152,0.5053304802325848
-360.0,-150.0,0.9128124326846647,-0.7841380703326405,-0.1568285809326588,0.502050591278059
-360.0,-140.0,0.9119446358444767,-0.7116037959541336,-0.13663949905733186,0.5021749170332599
-360.0,-130.0,0.9155612440701866,-0.6503368176189196,-0.11742822289306239,0.5016578639552831
-360.0,-120.0,0.9226508416900203,-0.5975919212953404,-0.09897975079820091,0.5006525830672663
-360.0,-110.0,0.9325940235256449,-0.5517320299883381,-0.08116769716936133,0.49926125919825076
-360.0,-100.0,0.9449744747122404,-0.5116964287101697,-0.06391111222669905,0.49755941327036146
-360.0,-90.0,0.9594929415780702,-0.4767586370357413,-0.04715483761663134,0.49560712392917555
-360.0,-80.0,0.9759229613552214,-0.4464016089917855,-0.030859381215803724,0.49345485972982134
-360.0,-70.0,0.994086048399808,-0.42024745990216394,-0.014995215093127335,0.491146763731892
-360.0,-60.0,1.0138369082006804,-0.39801520269594337,0.0004606494228165872,0.4887226082371362
-360.0,-50.0,1.035054240327236,-0.37949403123429715,0.015526815174838901,0.48621900210761654
-350.0,-170.0,0.8491850991307972,-0.7658519946692808,-0.1832601088065964,0.4915950900082247
-350.0,-160.0,0.8453787158097157,-0.686024622512629,-0.16246797721454115,0.4921932104162098
-350.0,-150.0,0.8464375117732703,-0.6182913667844819,-0.14268809046398354,0.4920265326582928
-350.0,-140.0,0.8512251920895499,-0.5595464722462851,-0.1236856000750955,0.49127575996996187
-350.0,-130.0,0.8590585195416782,-0.5079645020644907,-0.10532538445447333,0.4900577143454814
-350.0,-120.0,0.8694843020013026,-0.4623731872239305,-0.08752256365367683,0.4884565496044536
-350.0,-110.0,0.8821798837556831,-0.4219738594552338,-0.07022044650189921,0.48653785967083174
-350.0,-100.0,0.8969025994849109,-0.3861994034939915,-0.05337930807005591,0.4843559119799841
-350.0,-90.0,0.9134616642651556,-0.35463504958273084,-0.036970110735303374,0.481957685810922
