x_sample [mm],y_sample [mm],theta1 [rad],theta2 [rad],Fx [N],Fy [N]
-320.0,-80.0,0.7505416457119147,-0.34828787407883577,-0.024705882352941237,0.5138235294117647
-320.0,-70.0,0.7682657087020801,-0.32582461734242574,-0.006963375231828195,0.5114455116680375
-320.0,-60.0,0.7880610491494111,-0.30655232096780916,0.010465946384381282,0.5088373649470715
-320.0,-50.0,0.8098340922191416,-0.2903776699608063,0.02757943884283415,0.5060280373191928
-320.0,-40.0,0.8334987989885936,-0.27722923869449545,0.0443736057906694,0.5030467007238336
-320.0,-30.0,0.8589748990580097,-0.2670533368353716,0.06084458821513141,0.49992293014516853
-320.0,-20.0,0.8861867973366002,-0.25981098337799624,0.07698855646163409,0.49668678477885214
-320.0,-10.0,0.9150630140353915,-0.25547575556787216,0.09280201685615937,0.493368813026755
-320.0,0.0,0.9455360602778722,-0.25403235001457536,0.10828203913853868,0.49
-310.0,-190.0,0.6587191417382741,-0.7529443654564165,-0.23370627367793592,0.5067606709715876
-310.0,-180.0,0.6435011087932847,-0.6785852289080896,-0.212,0.509
-310.0,-170.0,0.6336124804593704,-0.6131852193824544,-0.1909096161724329,0.5104689201635045
-310.0,-160.0,0.6280983188222997,-0.5549072176203649,-0.17030791376841795,0.5112926896679133
-310.0,-150.0,0.6263376921809538,-0.5025619542095032,-0.15011675288878462,0.5115564098925236
-310.0,-140.0,0.6279008807336597,-0.4553345264197266,-0.13028645372261766,0.5113222467059146
-310.0,-130.0,0.6324757900686122,-0.4126437451283207,-0.110785209590531,0.5106384604942935
-310.0,-120.0,0.6398264148705697,-0.37406296907943637,-0.09159310914121946,0.5095446029130763
-310.0,-110.0,0.6497677166146425,-0.3392723860188107,-0.0726984949136124,0.5080747276112988
-310.0,-100.0,0.6621495884322766,-0.3080286479667149,-0.054095595186779206,0.5062594854236196
-310.0,-90.0,0.6768461813328788,-0.28014467979482793,-0.03578288970288995,0.5041275481507738
-310.0,-80.0,0.6937485716876002,-0.25547575556787216,-0.017761918121815115,0.5017066017750155
-310.0,-70.0,0.7127596169516393,-0.23390960405233163,-3.636686570504821e-05,0.49902404619161495
-310.0,-60.0,0.7337903131265602,-0.2153592044855961,0.01738866101798928,0.4961074827776754
-310.0,-50.0,0.7567572301772945,-0.19975744383306604,0.03450724875277766,0.49298504012141575
-310.0,-40.0,0.7815807549251526,-0.18705310846122258,0.051313173503978876,0.489685570774707
-310.0,-30.0,0.8081839628108556,-0.17720786823788126,0.06780033612329879,0.4862387422054804
-310.0,-20.0,0.8364919960366648,-0.17019402837807007,0.08396312104629353,0.48267504006750284
-310.0,-10.0,0.8664318604029373,-0.16599290102281739,0.09979668875748625,0.4790256996373382
-310.0,0.0,0.8979325752115335,-0.16459370030002107,0.11529720000426792,0.4753225806451612
-300.0,-200.0,0.5969978631723589,-0.7079948736637924,-0.24699999999999997,0.49600000000000005
-300.0,-190.0,0.5812169695506073,-0.6332995421049408,-0.22537790608763758,0.4984273261444962
-300.0,-180.0,0.5705260458287458,-0.5670310886959316,-0.2043008573125227,0.500086152279153
-300.0,-170.0,0.5640722730754941,-0.5075382809947111,-0.18365928303614987,0.5010930729461818
-300.0,-160.0,0.5612926808677838,-0.45373261232906126,-0.16338496642062014,0.5015280179090026
-300.0,-150.0,0.5617942376789675,-0.4048588593931255,-0.14343437541085652,0.5014494789612384
-300.0,-140.0,0.5652902268579894,-0.36037370235643484,-0.12377986303107487,0.5009027305854984
-300.0,-130.0,0.571563506878495,-0.3198759483192468,-0.10440459781073493,0.4999246742820149
-300.0,-120.0,0.5804438585833456,-0.2830637642840066,-0.08529942535618264,0.49854689652419365
-300.0,-110.0,0.5917932695053434,-0.24970708235730377,-0.06646079691395533,0.49679770779821636
-300.0,-100.0,0.6054959669505462,-0.21962902274417284,-0.047889316781249726,0.49470356107291685
-300.0,-90.0,0.621451445772097,-0.19269293221991868,-0.02958866215255719,0.4922900680208994
-300.0,-80.0,0.6395694792970774,-0.16879306157477525,-0.011564734119342234,0.4895827375681754
-300.0,-70.0,0.6597665075957551,-0.1478476866582381,0.0061750430965092275,0.4866075100558521
-300.0,-60.0,0.6819630286736995,-0.1297939262815464,0.02362232328601658,0.48339113132386996
-300.0,-50.0,0.7060817544147793,-0.11458377852712665,0.04076836717293793,0.479961394528823
-300.0,-40.0,0.7320463749655901,-0.10218106313259412,0.057604512875704214,0.47634726838342717
-300.0,-30.0,0.7597808247872546,-0.09255906358883159,0.07412259274933411,0.4725789259416001
-300.0,-20.0,0.7892089733627148,-0.08569873194473243,0.09031529569335442,0.468687686379557
